order,type,file,youtubeId,chapter,role,title,caption,body,emphasis
1,image,001-manuscript-hero.webp,,Manuscript,hero,Manuscript Hero,Navigating the architectures of displacement through a modular dream-cycle cycle.,,primary
2,image,002-thesis.webp,,Thesis,evidence,Thesis,Exile is recorded through the bureaucratic language that normally erases it.,The system translates textual fragments into spatial adjacencies.,secondary
3,image,003-dream-cycle-structure.webp,,Structure,evidence,Dream-Cycle Structure,Visualizing the topological network of 100 modular entries and their links.,,secondary
4,image,004-ordinary-anchors.webp,,Structure,evidence,Ordinary Anchors,Exile measured through domestic details: errands, animals, rooms, and debts.,,secondary
5,image,005-administrative-forms.webp,,Structure,evidence,Administrative Forms,Clinical bureaucratic form logic repurposed as literary narrative.,,secondary
6,image,006-cartography-link.webp,,Archive,evidence,Cartography of Absence,The predecessor system: nine houses serving as indexical frameworks for void.,,secondary
7,image,007-sparrowos.webp,,Archive,evidence,SparrowOS,Recursive surveillance system interface tracking the movements of characters.,,secondary
8,image,008-temporal-debt.webp,,Archive,evidence,Temporal Debt,A looping narrative structure where past debts and scenes accumulate gravity.,,secondary
9,image,009-text-excerpt.webp,,Excerpt,evidence,Text Excerpt,Approved excerpt cards rendering passages from the 28,000-word manuscript.,,secondary
10,image,010-houses-rooms-diagram.webp,,Diagram,evidence,Houses & Rooms,Spatial mapping of thematic houses and narrative nodes.,,secondary
11,image,011-constraint.webp,,Method,evidence,Constraint,Resisting explanation: keeping text fragments unresolved and open-ended.,,secondary
12,image,012-low-res-lineage.webp,,Method,evidence,Low-Res Lineage,Connection to early UCL Bartlett low-resolution architectural thesis.,,secondary
13,image,013-coda.webp,,Coda,coda,Coda,No resolution, only ordinary presence.,The text fragment survives as proof of elsewhere.,quiet
